Category,Term,Definition,Repetition,Interval,EaseFactor,NextReview
concept,Recall,"The ratio of true positives to the sum of true positives and false negatives.",0,1,2.5,2025-06-13
concept,F1 Score,"The harmonic mean of precision and recall.",0,1,2.5,2025-06-13
concept,Confusion Matrix,"A table used to describe the performance of a classification model.",0,1,2.5,2025-06-13
concept,Neural Network,"A set of algorithms modeled loosely after the human brain that are designed to recognize patterns.",0,1,2.5,2025-06-13
concept,Backpropagation,"An algorithm for training neural networks by propagating the error backward.",0,1,2.5,2025-06-13
concept,Feature Engineering,"The process of using domain knowledge to create features that make machine learning algorithms work better.",0,1,2.5,2025-06-13
concept,Hyperparameter,"Parameters whose values are set before the learning process begins.",0,1,2.5,2025-06-13
concept,Dimensionality Reduction,"Techniques to reduce the number of input variables in a dataset.",0,1,2.5,2025-06-13
concept,Pandas Series,"A one-dimensional labeled array capable of holding any data type.",0,1,2.5,2025-06-13
concept,Iterator,"An object representing a stream of data; returns one element at a time when iterated over.",0,1,2.5,2025-06-13
concept,Generator,"A function that returns an iterator and generates values on the fly using the yield keyword.",0,1,2.5,2025-06-13
concept,Context Manager,"An object that defines runtime context to be entered and exited using with statement.",0,1,2.5,2025-06-13
concept,Decorator,"A function that modifies the behavior of another function without changing its source code.",0,1,2.5,2025-06-13
module,scipy,"Scientific computing library for mathematics, science, and engineering.",0,1,2.5,2025-06-13
module,pytorch,"An open source machine learning framework based on the Torch library.",0,1,2.5,2025-06-13
module,xgboost,"An optimized distributed gradient boosting library.",0,1,2.5,2025-06-13
module,flask,"A lightweight web application framework.",0,1,2.5,2025-06-13
module,django,"A high-level Python web framework for rapid development.",0,1,2.5,2025-06-13
module,sqlalchemy,"SQL toolkit and Object Relational Mapper for Python.",0,1,2.5,2025-06-13
concept,Convolutional Neural Network,"A class of deep neural networks, most commonly applied to analyzing visual imagery.",0,1,2.5,2025-06-13
concept,Reinforcement Learning,"An area of machine learning concerned with how agents ought to take actions in an environment.",0,1,2.5,2025-06-13
concept,Transformer,"A deep learning model architecture based on attention mechanisms.",0,1,2.5,2025-06-13
concept,Attention Mechanism,"A technique that allows models to focus on relevant parts of the input.",0,1,2.5,2025-06-13
concept,Generative Adversarial Network (GAN),"A class of machine learning frameworks where two neural networks contest with each other.",0,1,2.5,2025-06-13
concept,Design Pattern,"Reusable solutions to common software design problems.",0,1,2.5,2025-06-13
concept,Big O Notation,"A notation to describe the performance or complexity of an algorithm.",0,1,2.5,2025-06-13
concept,Hash Table,"A data structure that implements an associative array abstract data type.",0,1,2.5,2025-06-13
concept,Linked List,"A linear collection of data elements whose order is not given by their physical placement in memory.",0,1,2.5,2025-06-13
concept,Binary Tree,"A tree data structure in which each node has at most two children.",0,1,2.5,2025-06-13
concept,Sorting Algorithm,"Algorithms to arrange elements in a list in a certain order.",0,1,2.5,2025-06-13
concept,Dynamic Programming,"A method for solving complex problems by breaking them down into simpler subproblems.",0,1,2.5,2025-06-13
concept,API,"Application Programming Interface, a set of routines and tools for building software applications.",0,1,2.5,2025-06-13
concept,REST,"Representational State Transfer, an architectural style for designing networked applications.",0,1,2.5,2025-06-13
concept,JSON,"JavaScript Object Notation, a lightweight data interchange format.",0,1,2.5,2025-06-13
concept,Serialization,"The process of converting an object into a format that can be stored or transmitted.",0,1,2.5,2025-06-13
